,Date,Zpid,time,Price,pricePerSquareFoot,priceChangeRate,event,Agency,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
1,07/12/2011,31493791,1.63149E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,01/01/2012,31493791,1.63063E+12,439000,,-0.022271715,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,22/05/2012,31493791,1.62432E+12,449000,,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
4,12/06/2013,31493791,1.62251E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
5,26/02/2015,31493791,1.61931E+12,449000,,-0.021786492,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
6,13/05/2015,31493791,1.61326E+12,459000,,-0.021321962,Price change,Brown Harris Stevens,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Brown Harris Stevens', 'infoString3': None}"
7,09/10/2016,31493791,1.60669E+12,469000,,-0.012631579,Price change,Brown Harris Stevens,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Brown Harris Stevens', 'infoString3': None}"
8,31/05/2017,31493791,1.60445E+12,475000,,-0.04040404,Price change,Brown Harris Stevens,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Brown Harris Stevens', 'infoString3': None}"
9,13/06/2017,31493791,1.59961E+12,2194,,-0.000455581,Listing removed,Brown Harris Stevens Residential Sales,,,FALSE,TRUE,"{'infoString1': None, 'infoString2': 'Brown Harris Stevens Residential Sales', 'infoString3': None}"
10,25/07/2017,31493791,1.59944E+12,495000,,0,Listed for sale,Halstead Real Estate,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Halstead Real Estate', 'infoString3': None}"
