zpid,property_type,price,bathrooms,bedrooms,Total_bath_beds,size_sqft,url,address,broker_name
2055186892,2,300000,1,0,1,0,/homedetails/448-E-87th-St-APT-5-C-New-York-NY-10028/2055186892_zpid/,"448 E 87th St APT 5-C, New York, NY 10028",Oxford Property Group
89336038,2,319000,1,0,1,0,/homedetails/668-Riverside-Dr-APT-3H-New-York-NY-10031/89336038_zpid/,"668 Riverside Dr APT 3H, New York, NY 10031",Skyward
72518478,2,399000,1,0,1,0,/homedetails/215-E-29th-St-APT-51-New-York-NY-10016/72518478_zpid/,"215 E 29th St APT 51, New York, NY 10016",Douglas Elliman
244778946,2,409100,1,0,1,469,/homedetails/144-E-84th-St-APT-6H-New-York-NY-10028/244778946_zpid/,"144 E 84th St APT 6H, New York, NY 10028",Karpoff Affiliates
125715378,2,450000,1,0,1,0,/homedetails/255-W-108th-St-APT-2E-New-York-NY-10025/125715378_zpid/,"255 W 108th St APT 2E, New York, NY 10025",Compass
72538076,2,475000,1,0,1,0,/homedetails/352-W-12th-St-APT-5D-New-York-NY-10014/72538076_zpid/,"352 W 12th St APT 5D, New York, NY 10014",Compass
244702076,2,535000,1,0,1,0,/homedetails/185-W-End-Ave-APT-23E-New-York-NY-10023/244702076_zpid/,"185 W End Ave APT 23E, New York, NY 10023",Corcoran
31507315,2,540000,1,0,1,509,/homedetails/150-E-37th-St-APT-4B-New-York-NY-10016/31507315_zpid/,"150 E 37th St APT 4B, New York, NY 10016",Elegran | Forbes Global Properties
244801842,1,550000,1,0,1,527,/homedetails/310-E-23rd-St-APT-4B-New-York-NY-10010/244801842_zpid/,"310 E 23rd St APT 4B, New York, NY 10010",Sotheby's International Realty
97540298,2,569000,1,0,1,781,/homedetails/220-W-148th-St-APT-1M-New-York-NY-10039/97540298_zpid/,"220 W 148th St APT 1M, New York, NY 10039",Brown Harris Stevens
31528765,2,595000,1,0,1,551,/homedetails/150-E-56th-St-APT-8F-New-York-NY-10022/31528765_zpid/,"150 E 56th St APT 8F, New York, NY 10022",Corcoran
31506850,2,649000,1,0,1,0,/homedetails/157-E-32nd-St-APT-11D-New-York-NY-10016/31506850_zpid/,"157 E 32nd St APT 11D, New York, NY 10016",Douglas Elliman
83933044,2,1050000,1,0,1,600,/homedetails/10-W-End-Ave-APT-8J-New-York-NY-10023/83933044_zpid/,"10 W End Ave APT 8J, New York, NY 10023",Compass
2055329744,2,1100000,1,0,1,0,/homedetails/645-E-11th-St-APT-1F-New-York-NY-10009/2055329744_zpid/,"645 E 11th St APT 1F, New York, NY 10009",Compass
145586220,5,4200000,1,0,1,0,/homedetails/35-Stuyvesant-St-New-York-NY-10003/145586220_zpid/,"35 Stuyvesant St, New York, NY 10003",Corcoran
244727151,2,299000,1,1,2,380,/homedetails/530-Manhattan-Ave-APT-7-New-York-NY-10027/244727151_zpid/,"530 Manhattan Ave APT 7, New York, NY 10027",Douglas Elliman
244783518,2,400000,1,1,2,0,/homedetails/326-E-73rd-St-APT-4C-New-York-NY-10021/244783518_zpid/,"326 E 73rd St APT 4C, New York, NY 10021",Compass
2055059305,2,425000,1,1,2,0,/homedetails/323-W-43rd-St-APT-2FE-New-York-NY-10036/2055059305_zpid/,"323 W 43rd St APT 2FE, New York, NY 10036",Corcoran
72536052,2,449000,1,1,2,0,/homedetails/860-W-181st-St-APT-39-New-York-NY-10033/72536052_zpid/,"860 W 181st St APT 39, New York, NY 10033",Corcoran
92961844,2,449000,1,1,2,0,/homedetails/522-W-50th-St-APT-A4-New-York-NY-10019/92961844_zpid/,"522 W 50th St APT A4, New York, NY 10019",Compass
2055129983,2,449000,1,1,2,425,/homedetails/2082-Frederick-Douglas-Blvd-5C-New-York-NY-10027/2055129983_zpid/,"2082 Frederick Douglas Blvd #5C, New York, NY 10027",Green Manzana LLC
124391113,2,450000,1,1,2,0,/homedetails/175-Claremont-Ave-APT-6-New-York-NY-10027/124391113_zpid/,"175 Claremont Ave APT 6, New York, NY 10027",Corcoran
83890640,2,475000,1,1,2,653,/homedetails/575-Riverside-Dr-APT-43-New-York-NY-10031/83890640_zpid/,"575 Riverside Dr APT 43, New York, NY 10031",Keller Williams Realty NYC Group
244867166,2,479000,1,1,2,0,/homedetails/335-W-85th-St-APT-4A-New-York-NY-10024/244867166_zpid/,"335 W 85th St APT 4A, New York, NY 10024",Brown Harris Stevens
72530826,2,500000,1,1,2,0,/homedetails/1060-Park-Ave-APT-3B-New-York-NY-10128/72530826_zpid/,"1060 Park Ave APT 3B, New York, NY 10128",Douglas Elliman
31546574,2,519900,1,1,2,550,/homedetails/2141-2nd-Ave-5C-New-York-NY-10029/31546574_zpid/,"2141 2nd Ave #5C, New York, NY 10029",Manhattan Network Inc.
79982486,2,525000,1,1,2,0,/homedetails/245-E-35th-St-APT-5D-New-York-NY-10016/79982486_zpid/,"245 E 35th St APT 5D, New York, NY 10016",Brown Harris Stevens
2062357663,2,560000,1,1,2,0,/homedetails/240-E-24th-St-APT-2F-New-York-NY-10010/2062357663_zpid/,"240 E 24th St APT 2F, New York, NY 10010",Compass
2070563278,2,585000,1,1,2,0,/homedetails/170-W-74th-St-APT-304-New-York-NY-10023/2070563278_zpid/,"170 W 74th St APT 304, New York, NY 10023","Ellen Elliot, LREB"
31491239,2,595000,1,1,2,624,/homedetails/300-Albany-St-APT-3K-New-York-NY-10280/31491239_zpid/,"300 Albany St APT 3K, New York, NY 10280",Sotheby's International Realty
244766629,2,600000,1,1,2,0,/homedetails/400-Riverside-Dr-APT-K-New-York-NY-10025/244766629_zpid/,"400 Riverside Dr APT K, New York, NY 10025",Bizzarro Agency
72651909,2,650000,1,1,2,650,/homedetails/245-E-25th-St-APT-12L-New-York-NY-10010/72651909_zpid/,"245 E 25th St APT 12L, New York, NY 10010",Brown Harris Stevens
244887771,2,650000,1,1,2,0,/homedetails/145-E-15th-St-APT-14C-New-York-NY-10003/244887771_zpid/,"145 E 15th St APT 14C, New York, NY 10003",Compass
244887775,2,650000,1,1,2,668,/homedetails/301-W-108th-St-APT-9C-New-York-NY-10025/244887775_zpid/,"301 W 108th St APT 9C, New York, NY 10025",Corcoran
72533561,2,655000,1,1,2,750,/homedetails/80-E-End-Ave-APT-6A-New-York-NY-10028/72533561_zpid/,"80 E End Ave APT 6A, New York, NY 10028",Corcoran
245084239,2,675000,1,1,2,0,/homedetails/415-W-57th-St-APT-5A-New-York-NY-10019/245084239_zpid/,"415 W 57th St APT 5A, New York, NY 10019",Compass
2055198358,2,690000,1,1,2,0,/homedetails/334-E-5th-St-APT-2-New-York-NY-10003/2055198358_zpid/,"334 E 5th St APT 2, New York, NY 10003",Compass
244802942,2,695000,1,1,2,0,/homedetails/55-E-65th-St-APT-4C-New-York-NY-10065/244802942_zpid/,"55 E 65th St APT 4C, New York, NY 10065",Douglas Elliman
244788162,2,699000,1,1,2,0,/homedetails/12-W-72nd-St-APT-7H-New-York-NY-10023/244788162_zpid/,"12 W 72nd St APT 7H, New York, NY 10023",Corcoran
244833303,2,699000,1,1,2,0,/homedetails/105-W-86th-St-2C-New-York-NY-10024/244833303_zpid/,"105 W 86th St #2C, New York, NY 10024",Keller Williams NYC
31508968,2,715000,1,1,2,0,/homedetails/350-E-30th-St-APT-5E-New-York-NY-10016/31508968_zpid/,"350 E 30th St APT 5E, New York, NY 10016",Alpha Properties NYC I LLC
72523812,2,725000,1,1,2,0,/homedetails/320-W-89th-St-APT-1D-New-York-NY-10024/72523812_zpid/,"320 W 89th St APT 1D, New York, NY 10024",Corcoran
82784658,2,725000,1,1,2,850,/homedetails/139-E-33rd-St-APT-10B-New-York-NY-10016/82784658_zpid/,"139 E 33rd St APT 10B, New York, NY 10016",Compass
244843500,2,725000,1,1,2,0,/homedetails/235-E-87th-St-APT-2F-New-York-NY-10128/244843500_zpid/,"235 E 87th St APT 2F, New York, NY 10128",Corcoran
31494719,2,750000,1,1,2,609,/homedetails/50-Bayard-St-APT-4S-New-York-NY-10013/31494719_zpid/,"50 Bayard St APT 4S, New York, NY 10013",E House Realty & Management Inc.
72523470,2,750000,1,1,2,0,/homedetails/311-W-82nd-St-APT-3B-New-York-NY-10024/72523470_zpid/,"311 W 82nd St APT 3B, New York, NY 10024",Compass
79498862,2,760000,1,1,2,0,/homedetails/121-W-72nd-St-APT-12F-New-York-NY-10023/79498862_zpid/,"121 W 72nd St APT 12F, New York, NY 10023",Compass
244815602,2,769000,1,1,2,0,/homedetails/317-W-87th-St-APT-4B-New-York-NY-10024/244815602_zpid/,"317 W 87th St APT 4B, New York, NY 10024",Roxann Realty LLC
79507549,2,775000,1,1,2,0,/homedetails/878-W-End-Ave-APT-15C-New-York-NY-10025/79507549_zpid/,"878 W End Ave APT 15C, New York, NY 10025",Douglas Elliman
63866790,2,779000,1,1,2,638,/homedetails/250-E-30th-St-APT-6B-New-York-NY-10016/63866790_zpid/,"250 E 30th St APT 6B, New York, NY 10016",Brown Harris Stevens
31531147,2,785000,1,1,2,600,/homedetails/301-E-45th-St-APT-11F-New-York-NY-10017/31531147_zpid/,"301 E 45th St APT 11F, New York, NY 10017",Akam Sales and Brokerage
244755415,2,785000,1,1,2,0,/homedetails/401-W-End-Ave-APT-3E-New-York-NY-10024/244755415_zpid/,"401 W End Ave APT 3E, New York, NY 10024",Brown Harris Stevens
72511981,2,789000,1,1,2,0,/homedetails/57-Thompson-St-APT-2B-New-York-NY-10012/72511981_zpid/,"57 Thompson St APT 2B, New York, NY 10012",Compass
72517702,2,795000,1,1,2,0,/homedetails/142-E-37th-St-APT-4-New-York-NY-10016/72517702_zpid/,"142 E 37th St APT 4, New York, NY 10016","NestApple, Inc."
2055108564,2,825000,1,1,2,0,/homedetails/239-E-79th-St-APT-12H-New-York-NY-10075/2055108564_zpid/,"239 E 79th St APT 12H, New York, NY 10075",Corcoran
244838287,2,839000,1,1,2,0,/homedetails/410-W-23rd-St-APT-5C-New-York-NY-10011/244838287_zpid/,"410 W 23rd St APT 5C, New York, NY 10011",Compass
244728288,2,849999,1,1,2,750,/homedetails/320-Central-Park-W-UNIT-3N-New-York-NY-10025/244728288_zpid/,"320 Central Park W UNIT 3N, New York, NY 10025",Coldwell Banker Signature Properties
31515715,2,870000,1,1,2,620,/homedetails/347-W-57th-St-APT-6B-New-York-NY-10019/31515715_zpid/,"347 W 57th St APT 6B, New York, NY 10019",City Connections Realty
2055109072,2,875000,1,1,2,717,/homedetails/210-W-19th-St-APT-4G-New-York-NY-10011/2055109072_zpid/,"210 W 19th St APT 4G, New York, NY 10011",Compass
31525553,2,899000,1,1,2,780,/homedetails/225-W-83rd-St-APT-15J-New-York-NY-10024/31525553_zpid/,"225 W 83rd St APT 15J, New York, NY 10024",Side Inc
72531250,2,1195000,1,1,2,1100,/homedetails/120-E-81st-St-APT-10E-New-York-NY-10028/72531250_zpid/,"120 E 81st St APT 10E, New York, NY 10028",Brown Harris Stevens
89668933,2,1250000,1,1,2,0,/homedetails/35-Riverside-Dr-APT-4-New-York-NY-10023/89668933_zpid/,"35 Riverside Dr APT 4, New York, NY 10023",Compass
2055232195,2,1750000,1,1,2,0,/homedetails/140-Charles-St-APT-16C-New-York-NY-10014/2055232195_zpid/,"140 Charles St APT 16C, New York, NY 10014","Merle K. Barash Real Estate, Inc."
31496142,2,1895000,1,1,2,1650,/homedetails/517-E-11th-St-APT-2-New-York-NY-10009/31496142_zpid/,"517 E 11th St APT 2, New York, NY 10009",Corcoran
31495033,2,2150000,1,1,2,1500,/homedetails/8-Greene-St-APT-5-New-York-NY-10013/31495033_zpid/,"8 Greene St APT 5, New York, NY 10013",Compass
2063171146,2,2150000,1,1,2,0,/homedetails/45-E-9th-St-APT-99-New-York-NY-10003/2063171146_zpid/,"45 E 9th St APT 99, New York, NY 10003",Brown Harris Stevens
96756460,2,2195000,1,1,2,826,/homedetails/28-E-10th-St-APT-1K-New-York-NY-10003/96756460_zpid/,"28 E 10th St APT 1K, New York, NY 10003",Corcoran
119911658,2,309000,1,2,3,750,/homedetails/1989-Amsterdam-Ave-APT-24-New-York-NY-10032/119911658_zpid/,"1989 Amsterdam Ave APT 24, New York, NY 10032",Pantiga Group
244793512,2,399000,1,2,3,768,/homedetails/17-W-108th-St-APT-88-New-York-NY-10025/244793512_zpid/,"17 W 108th St APT 88, New York, NY 10025",Camelot Realty Group
321916736,1,649000,1,2,3,0,/homedetails/130-Bradhurst-Ave-APT-1202-New-York-NY-10039/321916736_zpid/,"130 Bradhurst Ave APT 1202, New York, NY 10039",Brown Harris Stevens
72535705,2,695000,1,2,3,0,/homedetails/450-W-147th-St-APT-21-New-York-NY-10031/72535705_zpid/,"450 W 147th St APT 21, New York, NY 10031",Compass
2055126489,2,699999,1,2,3,820,/homedetails/353-E-104th-St-6A-New-York-NY-10029/2055126489_zpid/,"353 E 104th St #6A, New York, NY 10029",R New York
72525634,2,725000,2,1,3,800,/homedetails/342-E-53rd-St-APT-1G-New-York-NY-10022/72525634_zpid/,"342 E 53rd St APT 1G, New York, NY 10022",R New York
80622697,2,775000,1,2,3,850,/homedetails/332-E-84th-St-APT-3F-New-York-NY-10028/80622697_zpid/,"332 E 84th St APT 3F, New York, NY 10028",Coldwell Banker Warburg
122143029,2,785000,1,2,3,0,/homedetails/301-E-87th-St-APT-8E-New-York-NY-10128/122143029_zpid/,"301 E 87th St APT 8E, New York, NY 10128",Sotheby's International Realty
244750374,2,795000,1,2,3,0,/homedetails/525-E-89th-St-APT-2L-New-York-NY-10128/244750374_zpid/,"525 E 89th St APT 2L, New York, NY 10128",R New York
2055128476,1,849999,2,1,3,0,/homedetails/151-Lenox-Ave-5-UNIT-PEN-New-York-NY-10026/2055128476_zpid/,"151 Lenox Ave #5-UNIT PEN, New York, NY 10026",Compass
244834128,2,899000,1,2,3,900,/homedetails/200-E-84th-St-APT-2D-New-York-NY-10028/244834128_zpid/,"200 E 84th St APT 2D, New York, NY 10028",Schulman Realty LLC
31537101,2,950000,2,1,3,757,/homedetails/205-E-68th-St-T2F-New-York-NY-10065/31537101_zpid/,"205 E 68th St #T2F, New York, NY 10065",Coldwell Banker Warburg
244877550,2,999000,1,2,3,900,/homedetails/125-W-76th-St-APT-6C-New-York-NY-10023/244877550_zpid/,"125 W 76th St APT 6C, New York, NY 10023",Corcoran
72537954,2,1100000,1,2,3,0,/homedetails/622-Washington-St-APT-3B-New-York-NY-10014/72537954_zpid/,"622 Washington St APT 3B, New York, NY 10014",Compass
83892438,2,1195000,1,2,3,0,/homedetails/365-W-20th-St-APT-14E-New-York-NY-10011/83892438_zpid/,"365 W 20th St APT 14E, New York, NY 10011",Compass
72537157,2,1250000,1,2,3,1100,/homedetails/588-W-End-Ave-APT-6A-Manhattan-NY-10024/72537157_zpid/,"588 W End Ave APT 6A, Manhattan, NY 10024",Sotheby's International Realty
97530281,2,1395000,1,2,3,1050,/homedetails/303-E-33rd-St-APT-10C-New-York-NY-10016/97530281_zpid/,"303 E 33rd St APT 10C, New York, NY 10016",Douglas Elliman
72514271,2,1595000,1,2,3,0,/homedetails/211-W-10th-St-APT-3D-New-York-NY-10014/72514271_zpid/,"211 W 10th St APT 3D, New York, NY 10014",Compass
2055237800,2,1600000,1,2,3,0,/homedetails/65-Morton-St-2N-New-York-NY-10014/2055237800_zpid/,"65 Morton St #2N, New York, NY 10014",Compass
72537027,2,1850000,1,2,3,0,/homedetails/791-Greenwich-St-APT-7-New-York-NY-10014/72537027_zpid/,"791 Greenwich St APT 7, New York, NY 10014",Compass
2098006111,1,2700000,2,1,3,0,/homedetails/55-Walker-St-APT-3A-New-York-NY-10013/2098006111_zpid/,"55 Walker St APT 3A, New York, NY 10013",Compass
63867450,2,2950000,2,1,3,962,/homedetails/100-Central-Park-S-APT-2A-New-York-NY-10019/63867450_zpid/,"100 Central Park S APT 2A, New York, NY 10019",Nest Seekers International
244880311,2,400000,1,3,4,0,/homedetails/227-E-14th-St-APT-5W-New-York-NY-10003/244880311_zpid/,"227 E 14th St APT 5W, New York, NY 10003",Weichert Properties - NYC
244708821,2,570000,2,2,4,1275,/homedetails/409-Edgecombe-Ave-APT-7F-New-York-NY-10032/244708821_zpid/,"409 Edgecombe Avenue UNIT 7F, New York, NY 10032",Coldwell Banker Signature Prop
72541459,2,580000,2,2,4,1248,/homedetails/579-W-215th-St-APT-8E-Manhattan-NY-10034/72541459_zpid/,"579 W 215th St APT 8E, Manhattan, NY 10034",Redfin Real Estate
83890626,2,799000,2,2,4,0,/homedetails/346-E-58th-St-2B3B-New-York-NY-10022/83890626_zpid/,"346 E 58th St #2B3B, New York, NY 10022",NextStopNY
2056060898,2,887785,2,2,4,0,/homedetails/575-Main-St-APT-1602-New-York-NY-10044/2056060898_zpid/,"575 Main St APT 1602, New York, NY 10044",Corcoran
122189781,2,975000,2,2,4,0,/homedetails/323-E-8th-St-APT-1B-New-York-NY-10009/122189781_zpid/,"323 E 8th St APT 1B, New York, NY 10009","NestApple, Inc."
2055125387,2,1050000,2,2,4,800,/homedetails/512-E-11th-St-APT-5ACD-New-York-NY-10009/2055125387_zpid/,"512 E 11th St APT 5ACD, New York, NY 10009",Brown Harris Stevens
113974735,2,1100000,2,2,4,0,/homedetails/302-W-86th-St-APT-9-C-New-York-NY-10024/113974735_zpid/,"302 W 86th St APT 9-C, New York, NY 10024",Compass
65321815,2,1150000,2,2,4,1040,/homedetails/368-W-117th-St-APT-1E-New-York-NY-10026/65321815_zpid/,"368 W 117th St APT 1E, New York, NY 10026",Compass
119987576,2,1150000,2,2,4,0,/homedetails/312-W-107th-St-APT-5A-New-York-NY-10025/119987576_zpid/,"312 W 107th St APT 5A, New York, NY 10025",Sotheby's International Realty
244868083,2,1195000,2,2,4,1000,/homedetails/312-E-23rd-St-APT-5D-New-York-NY-10010/244868083_zpid/,"312 E 23rd St APT 5D, New York, NY 10010",Douglas Elliman
338435555,2,1195000,2,2,4,0,/homedetails/1330-5th-Ave-APT-6K-New-York-NY-10026/338435555_zpid/,"1330 5th Ave APT 6K, New York, NY 10026",Oxford Property Group
244850499,2,1200000,2,2,4,0,/homedetails/1150-Park-Ave-6D-New-York-NY-10128/244850499_zpid/,"1150 Park Ave #6D, New York, NY 10128",Sloane Square
