,buildingId,lotId,price,rentalMarketingSubType,minBeds,minBaths,minArea,imgSrc,hasImage,plid,isFeaturedListing,isShowcaseListing,unitCount,isHomeRec,buildingName,isBuilding,address,badgeInfo,statusType,statusText,listingType,isFavorite,detailUrl,has3DModel,hasAdditionalAttributions,canSaveBuilding,timeOnZillow,latLong.latitude,latLong.longitude,zpid,priceLabel,beds,baths,area,isUserClaimingOwner,isUserConfirmedClaim,visited,shouldShowZestimateAsPrice,pgapt,sgapt,hasVideo,isNewYorkState,brokerName,availabilityDate,variableData.type,variableData.text,variableData.data.isFresh,hdpData.homeInfo.zpid,hdpData.homeInfo.streetAddress,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.latitude,hdpData.homeInfo.longitude,hdpData.homeInfo.price,hdpData.homeInfo.bathrooms,hdpData.homeInfo.bedrooms,hdpData.homeInfo.livingArea,hdpData.homeInfo.homeType,hdpData.homeInfo.homeStatus,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isFeatured,hdpData.homeInfo.shouldHighlight,hdpData.homeInfo.zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.listing_sub_type.is_FSBA,hdpData.homeInfo.isUnmappable,hdpData.homeInfo.isPreforeclosureAuction,hdpData.homeInfo.homeStatusForHDP,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.isNonOwnerOccupied,hdpData.homeInfo.isPremierBuilder,hdpData.homeInfo.isZillowOwned,hdpData.homeInfo.currency,hdpData.homeInfo.country,hdpData.homeInfo.taxAssessedValue,hdpData.homeInfo.unit,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,hdpData.homeInfo.isShowcaseListing,hdpData.homeInfo.listing_sub_type.is_openHouse,hdpData.homeInfo.openHouse,hdpData.homeInfo.open_house_info.open_house_showing,variableData,info3String,communityName,style,isCdpResult,streetViewMetadataURL,streetViewURL,hdpData.homeInfo.listing_sub_type.is_FSBO
0,40.77814--73.94895,311184.0,"From $589,000",unknown,0.0,1.0,500.0,https://photos.zillowstatic.com/fp/60f7eaf78779501b90d235c1f3104177-p_e.jpg,True,1683739,False,False,8.0,False,Leighton House,True,"360 E 88th St, New York, NY",,FOR_SALE,Leighton House,,False,/b/leighton-house-new-york-ny-4dbh/,False,False,False,35897653,40.77814,-73.94895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40.761375--73.97749,22053.0,"From $1,299,999",unknown,1.0,2.0,743.0,https://photos.zillowstatic.com/fp/f3ffa3e29bc52339f996e4eafad0887d-p_e.jpg,True,1683740,False,False,8.0,False,Museum Tower,True,"15 W 53rd St, New York, NY",,FOR_SALE,Museum Tower,,False,/b/museum-tower-new-york-ny-2CC5/,False,False,False,37277653,40.761375,-73.97749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,"$1,395,000",unknown,,,,https://photos.zillowstatic.com/fp/9e2eec18cee6a8ccaf3009a944d754ee-p_e.jpg,True,,False,False,,False,,,"303 E 33rd St APT 10C, New York, NY 10016",,FOR_SALE,Condo for sale,,False,/homedetails/303-E-33rd-St-APT-10C-New-York-NY-10016/97530281_zpid/,False,True,,39977653,40.74393,-73.97568,97530281,$1.40M,2.0,1.0,1050.0,False,False,False,False,ForSale,For Sale (Broker),False,True,Listing by: Douglas Elliman,,TIME_ON_INFO,11 hours ago,False,97530281.0,303 E 33rd St APT 10C,10016,New York,NY,40.74393,-73.97568,1395000.0,1.0,2.0,1050.0,CONDO,FOR_SALE,-1.0,False,False,1371800.0,3949.0,True,False,False,FOR_SALE,1395000.0,True,False,False,USD,USA,353743.0,Apt 10C,0.39625803489439854,acres,False,,,,,,,,,,,
3,40.8114--73.9621,1002944389.0,"From $1,245,000",unknown,1.0,1.0,706.0,https://photos.zillowstatic.com/fp/47d92d8d4cef27cde2d0ac045eb0f86e-p_e.jpg,True,1683723,False,False,18.0,False,Claremont Hall,True,"100 Claremont Ave, New York, NY",,FOR_SALE,Claremont Hall,,False,/b/claremont-hall-new-york-ny-5XytRr/,False,False,False,39977653,40.8114,-73.9621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40.7509--73.98237,352473.0,"From $1,120,000",unknown,1.0,1.0,777.0,https://photos.zillowstatic.com/fp/56a31dc8b1dbc1c67124f23d9f621bbd-p_e.jpg,True,1683708,False,False,6.0,False,,True,"425 5th Ave, New York, NY",,FOR_SALE,For Rent,,False,/b/425-5th-ave-new-york-ny-4zpL/,False,False,False,40697653,40.7509,-73.98237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,40.771275--73.959885,569715.0,"From $849,000",unknown,1.0,1.0,925.0,https://photos.zillowstatic.com/fp/2e0c36952e9d343007d33fe31d6b65b6-p_e.jpg,True,1683558,False,False,3.0,False,,True,"175 E 74th St, New York, NY",,FOR_SALE,For Rent,,False,/b/175-e-74th-st-new-york-ny-6rHr/,False,False,False,40697654,40.771275,-73.959885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,40.727127--73.99593,1002908630.0,"From $625,000",unknown,0.0,1.0,800.0,https://photos.zillowstatic.com/fp/45572ba078aee083367b28a9d7ce00a4-p_e.jpg,True,1683560,False,False,7.0,False,Bleecker Court,True,"77 Bleecker St, New York, NY",,FOR_SALE,Bleecker Court,,False,/b/bleecker-court-new-york-ny-5XyZY5/,False,False,False,43817654,40.727127,-73.99593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,40.73224--73.99478,726862.0,"From $915,000",unknown,0.0,1.0,790.0,https://photos.zillowstatic.com/fp/dc34be8d81a78ca932edd922005d2c33-p_e.jpg,True,1683054,False,False,5.0,False,The Brevoort East,True,"20 E 9th St, New York, NY",,FOR_SALE,The Brevoort East,,False,/b/the-brevoort-east-new-york-ny-8Bjw/,False,False,False,43817654,40.73224,-73.99478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,"$5,100,000",unknown,,,,https://photos.zillowstatic.com/fp/6013fc28f2336b626c0cea02f46635eb-p_e.jpg,True,,False,False,,False,,,"400 E 51st St APT 21AB, New York, NY 10022",,FOR_SALE,Condo for sale,,False,/homedetails/400-E-51st-St-APT-21AB-New-York-NY-10022/2061338920_zpid/,False,True,,43817654,40.7542,-73.9656,2061338920,$5.10M,4.0,5.0,3300.0,False,False,False,False,ForSale,For Sale (Broker),False,True,Listing by: Berkshire Hathaway HomeServices New York Properties,,TIME_ON_INFO,12 hours ago,False,2061338920.0,400 E 51st St APT 21AB,10022,New York,NY,40.7542,-73.9656,5100000.0,5.0,4.0,3300.0,CONDO,FOR_SALE,-1.0,False,False,,20082.0,True,False,False,FOR_SALE,5100000.0,True,False,False,USD,USA,,Apt 21AB,,,False,,,,,,,,,,,
9,40.7952--73.9721,1001433949.0,"From $1,290,000",unknown,2.0,2.0,917.0,https://photos.zillowstatic.com/fp/c1bf327b786fdbd8236e9f98e8cb5fc5-p_e.jpg,True,1656595,False,False,2.0,False,The Columbia,True,"275 W 96th St, New York, NY",,FOR_SALE,The Columbia,,False,/b/the-columbia-new-york-ny-5Xj4MX/,False,False,False,43877654,40.7952,-73.9721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
